"ISIN","DocumentType","EffectiveDate","DownloadDate","DownloadUrl","FilePath","MD5Hash","FileSize"
"DE000ANTE1V9","Halbjahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB-antea_12_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\HJB-antea_12_2023.pdf","4300416528ebd94b2107913aab3362c0","282736"
"DE000ANTE4U5","Verkaufsprospekt","05.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_antea_InvAG_05_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\VKP_antea_InvAG_05_04_2024.pdf","36c1a1983c3a61b4ab1f221863fa3614","2398923"
"DE000ANTE4U5","Jahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB-antea_06_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\JB-antea_06_2023.pdf","d2edcc661be6b7f01d188082c960a68b","896330"
"DE000ANTE4U5","Halbjahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB-antea_Einkommen_Global_12_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE4U5\HJB-antea_Einkommen_Global_12_2023.pdf","a2f4f8db3be0ec55917003fec15d28eb","122199"
"DE000ANTE026","Verkaufsprospekt","05.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_antea_InvAG_05_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\VKP_antea_InvAG_05_04_2024.pdf","36c1a1983c3a61b4ab1f221863fa3614","2398923"
"DE000ANTE026","Jahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB-antea_06_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\JB-antea_06_2023.pdf","d2edcc661be6b7f01d188082c960a68b","896330"
"DE000ANTE026","Halbjahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB-antea_Strategie_II_12_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE026\HJB-antea_Strategie_II_12_2023.pdf","09d979f1a538970a31e0e57625433104","158414"
"DE000A14UWW2","Verkaufsprospekt","01.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apano_Global_Systematik_01_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A14UWW2\VKP_apano_Global_Systematik_01_04_2024.pdf","d546bd8bcab7e52cf86361b88e0ec4f4","1227641"
"DE000A14UWW2","Jahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/6172_JB_apano_Global_Systematik_Bericht.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A14UWW2\6172_JB_apano_Global_Systematik_Bericht.pdf","b95fad28c54d025cb43856901bbabbcb","1535992"
"DE000A14UWW2","Halbjahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6172_apano_Global_Systematik_Bericht_2023-06-30_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A14UWW2\HJB_6172_apano_Global_Systematik_Bericht_2023-06-30_Layout_PDF.pdf","9f4a33fc1f8bff1a033cb466e70676ea","864959"
